TIME,TYPE,ID,EVENT,ELAPSED(ms),RESULT
2020-03-24 01:38:00,res,149384650,fetchOps,206,Callback
2020-03-24 04:12:00,res,261706239,fetchOps,285,Callback
2020-03-24 06:42:15,res,60444050,fetchOps,815,Callback
2020-03-24 09:13:00,res,169536385,fetchOps,401,Callback
2020-03-24 17:23:23,res,148157629,fetchOps,718,Callback
2020-03-24 17:23:39,res,4148895,getNotice,1595,Failure
2020-03-24 17:23:57,res,73571990,fetchOps,1278,Callback
2020-03-24 17:31:40,res,5904623,fetchOps,130,Callback
2020-03-24 17:31:45,res,126432354,getProductV2,136,Success
2020-03-24 17:31:55,res,67364070,getNotice,141,Failure
2020-03-24 17:32:36,res,186009229,reportDeviceState,82,Success
2020-03-24 17:32:37,res,116408164,getPromotedBuddyContacts,62,Success
2020-03-24 17:32:38,res,237435615,reportLocation,2,Success
2020-03-24 17:32:40,res,1352845,negotiateE2EEPublicKey,52,Success
2020-03-24 17:32:40,res,257617864,getMessageReadRange,61,Success
2020-03-24 17:32:40,res,94592962,sendChatChecked,52,Success
2020-03-24 17:32:41,res,9828059,getBuddyDetailWithPersonal,300,Success
2020-03-24 17:32:42,res,183329075,getChatEffectMetaList,74,Success
2020-03-24 17:32:42,res,259304007,getPendingAgreements,52,Success
2020-03-24 17:32:42,res,15748252,getConfigurationsAsync,121,Callback
2020-03-24 17:32:42,res,243248237,getMyChatApps,261,Success
2020-03-24 17:32:42,res,237718105,getNewlyReleasedBuddyIds,182,Success
2020-03-24 17:32:42,res,162412854,getMyChatApps,111,Success
2020-03-24 17:32:42,res,167033378,getOwnedProductSummaries,60,Success
2020-03-24 17:32:42,res,81482959,getMyChatApps,113,Success
2020-03-24 17:32:42,res,150645540,getUpdates,108,Success
2020-03-24 17:32:42,res,101096399,getInstanceNews,51,Success
2020-03-24 17:32:42,res,177617596,getMyChatApps,139,Success
2020-03-24 17:32:42,res,6554081,getChatEffectMetaList,57,Success
2020-03-24 17:32:42,res,13556343,getMyChatApps,99,Success
2020-03-24 17:32:42,res,192237415,getMyChatApps,105,Success
2020-03-24 17:32:42,res,248919876,getMyChatApps,93,Success
2020-03-24 17:32:43,res,56160502,negotiateE2EEPublicKey,65,Success
2020-03-24 17:32:43,res,251638120,getMessageReadRange,66,Success
2020-03-24 17:32:43,res,81274485,sendChatChecked,71,Success
2020-03-24 17:32:43,res,159811985,getBuddyDetailWithPersonal,213,Success
2020-03-24 17:32:45,res,148259725,negotiateE2EEPublicKey,48,Success
2020-03-24 17:32:45,res,170997684,sendChatChecked,55,Success
2020-03-24 17:32:45,res,106882921,getMessageReadRange,74,Success
2020-03-24 17:32:45,res,223497691,getBuddyDetailWithPersonal,194,Success
2020-03-24 17:32:45,res,67824516,getBuddyChatBar,92,Success
2020-03-24 17:32:49,res,171513494,getOwnedProductSummaries,157,Success
